fy,symbol,gross_profit_margin,operating_profit_margin,net_profit_margin,roe,roic,return_on_assets,return_on_capital_employed,debt_equity_ratio,debt_ratio,net_debt_to_ebitda,interest_coverage,current_ratio,quick_ratio,cash_ratio,asset_turnover,inventory_turnover,receivables_turnover,payables_turnover,cash_conversion_cycle,operating_cf_per_share,free_cf_per_share,free_cf_yield,pe_ratio,pb_ratio,price_to_sales_ratio,price_to_fcf_ratio,price_to_ocf_ratio,dividend_yield,dividend_payout_ratio,earnings_yield,ev_to_sales,ev_to_ebitda,market_cap,book_value_per_share,revenue_per_share,net_income_per_share,shareholders_equity_per_share
2012,HDFCBANK,1.0,1.272788604,0.296785967,0.18573629,0.237507572,0.016793773,0.077841079,1.313528914,0.118765734,0.192515974,1.49820944,10.55197014,4.532947468,0.911015572,0.056585469,0.0,3.407650763,0.0,0.0,15.14490941,13.02838961,0.041767701,21.89760305,4.067179544,6.498901303,23.94194505,20.59602864,0.008002612,0.175238022,0.045667099,6.751570545,5.144216093,1472890000000.0,76.69319356,47.99657257,14.24470922,76.69319356
2013,HDFCBANK,1.0,1.330427145,0.321123782,0.195001455,0.237947057,0.017242722,0.076057632,1.253869428,0.110871591,0.004020213,1.550631928,13.54151991,4.619071436,1.325159478,0.053694938,0.0,3.515841226,0.0,0.0,26.59739961,24.56240034,0.065604703,21.11074488,4.116625962,6.77916223,15.24280969,14.07656386,0.008588748,0.181314871,0.047369243,6.773683916,4.970808686,1789850000000.0,90.94826624,55.2280623,17.73504422,90.94826624
2014,HDFCBANK,1.0,1.270720623,0.324557492,0.169199573,0.193266157,0.017601221,0.072931669,1.280953909,0.133253012,0.539416954,1.53313342,13.70620677,5.807054161,1.091904437,0.054231442,0.0,4.516254347,0.0,0.0,22.55923069,20.72042722,0.040521027,23.19745956,3.925000257,7.528909302,24.6785455,22.66699663,0.007786237,0.180620908,0.043108169,8.226030708,6.365118599,2478800000000.0,130.2802478,67.91820508,22.04336232,130.2802478
2015,HDFCBANK,1.0,1.286531865,0.317529802,0.176086993,0.225504544,0.018050377,0.077561952,1.078386417,0.110543548,0.268077538,1.521942602,14.02365132,5.833048399,0.961640234,0.056846244,0.0,4.341274022,0.0,0.0,33.7791437,31.79628748,0.059368504,21.07068634,3.710273805,6.69057086,16.84394797,15.85519801,0.009036714,0.190409772,0.047459299,7.040406172,5.395037858,2696540000000.0,144.3491883,80.04922498,25.41801455,144.3491883
2016,HDFCBANK,1.0,1.233725532,0.317776617,0.166540496,0.174575557,0.017131742,0.071146368,1.423211443,0.146403379,0.815157141,1.560170214,11.70888472,4.659547855,0.848296951,0.053911273,0.0,4.622272463,0.0,0.0,74.53271824,72.05102717,0.099893972,24.00883191,3.998442784,7.62944538,10.01061404,9.677293959,0.007977733,0.191536042,0.041651339,8.650172125,6.908067818,3670330000000.0,180.3889822,94.53832986,30.04207063,180.3889822
2017,HDFCBANK,1.0,1.182271008,0.314788248,0.169352166,0.132156859,0.016824767,0.069721242,2.138358671,0.212441251,0.472288768,1.644827175,8.576349468,3.456815947,1.190790793,0.053447887,0.0,4.950748578,0.0,0.0,18.26638119,16.48739204,0.017074764,26.84971775,4.547057843,8.451975599,58.56596203,52.86213871,0.006920849,0.185822848,0.037244339,9.018102441,7.523311342,4983540000000.0,212.3570909,114.2454761,35.96313321,212.3570909
2018,HDFCBANK,1.0,0.493989329,0.3296804,0.134819999,0.064233871,0.016573989,0.026622563,1.040448793,0.127906746,2.465129574,0.617362912,0.475821286,4.091761604,0.958933236,0.050272899,0.0,4.139480292,0.0,0.0,34.19214048,31.14087325,0.026940802,28.14900423,3.795048717,9.280174967,37.11842037,33.8060153,0.006619943,0.186344806,0.035525235,10.54314979,20.57858157,6195700000000.0,304.5810766,124.5558438,41.06362039,304.5810766
2019,HDFCBANK,1.0,1.308673186,0.39329279,0.160833745,0.166880849,0.019771969,0.070528314,1.040448793,0.127906746,0.951737638,1.635513646,11.50508751,4.091761604,0.958933236,0.050272899,0.0,4.139480292,0.0,0.0,34.19214048,31.14087325,0.036130494,17.59449475,2.829788487,6.919787923,27.67745198,25.20754805,0.008878051,0.156204822,0.05683596,8.182762743,6.166269643,4619840000000.0,304.5810766,124.5558438,48.98691531,304.5810766
2020,HDFCBANK,1.0,0.460774199,0.400684506,0.186174343,0.072953652,0.020794434,0.024950687,1.06658018,0.119129904,1.531119621,0.624414257,7.347019309,7.347019309,1.36038971,0.051897276,0.0,1.959155103,0.0,0.0,30.84604186,33.83731848,0.022654114,25.66023489,4.777277382,10.28165854,44.14209196,48.42274515,0.008117291,0.208291592,0.038970805,11.01182795,23.09111512,8168480000000.0,312.6571695,145.273257,58.20874323,312.6571695
2021,HDFCBANK,1.0,0.442607641,0.399430491,0.183976011,0.076083855,0.021450346,0.024568156,0.960978919,0.112043577,1.277792561,0.721929449,9.725810483,9.725810483,2.071964375,0.053702325,0.0,4.728743511,0.0,0.0,77.23572196,74.15158148,0.050431246,20.94898901,3.854111435,8.367664975,19.82897663,19.03717527,0.004481545,0.093883841,0.047735,8.95153903,19.59020077,8086320000000.0,381.5016771,175.7180743,70.18715677,381.5016771
2022,HDFCBANK,1.0,1.081854305,0.378649414,0.154101917,0.17218608,0.018281983,0.054613436,0.872966096,0.10356491,0.524633331,1.887492416,17.89424142,6.760240241,1.738610304,0.048282084,0.0,4.423238918,0.0,0.0,105.0074553,100.2498449,0.062284391,23.07205793,3.555448363,8.73622121,16.05538693,15.32795976,0.004069158,0.093883841,0.043342471,9.312452724,8.4785767,8905820000000.0,452.6995993,184.2387012,69.76187622,452.6995993
2012,HINDUNILVR,0.455574655,0.14814239,0.14274461,1.336575013,1.042247194,0.316658176,0.972456881,0.008635946,0.002046008,0.096035876,154.5011664,1.013758007,0.675739989,0.05776764,2.218354692,5.396829972,15.56954465,2.733876976,42.43453218,16.67435982,14.6322739,0.031043331,26.61261799,35.56976023,3.798807784,32.21303833,28.26795182,0.034917847,0.929255311,0.03757616,3.782489556,22.26066988,1018990000000.0,13.25142472,124.0784022,17.71152317,13.25142472
2013,HINDUNILVR,0.464714467,0.154461543,0.135967166,1.115421693,0.948906588,0.286548128,0.953532255,0.012885571,0.00331026,0.157133622,110.1831367,1.054129455,0.729951492,0.093212536,2.107480331,5.283710283,16.76539408,2.604106698,49.31194673,17.65584923,14.85185522,0.024526224,33.19006038,37.02091334,4.512758444,40.77268402,34.29741566,0.018948528,0.628902795,0.030129502,4.485199175,25.57308817,1309540000000.0,16.35697084,134.1862206,18.24492011,16.35697084
2014,HINDUNILVR,0.461740814,0.160944576,0.137586246,1.084900687,0.869387543,0.302344984,0.976691716,0.010702102,0.00298251,0.135089647,288.3508475,1.084399127,0.774895467,0.088294755,2.197494248,5.991687699,17.28444587,3.099346142,35.73179529,14.4410956,11.64100879,0.013326093,43.30853554,46.98545998,5.958658827,75.04074742,60.49056277,0.015409724,0.66737259,0.023090137,5.934386006,33.02764434,1889590000000.0,18.59192185,146.6017816,20.17038879,18.59192185
2015,HINDUNILVR,0.489263128,0.170362692,0.1238134,1.027874643,0.915029719,0.269202795,1.036865441,0.064148692,0.016800694,0.095067767,1237.281938,1.050779138,0.768318644,0.087298957,2.174262192,6.118969671,15.39031278,2.940158704,40.77617604,19.06528444,15.25508364,0.017544662,46.08593066,47.37055955,5.706055771,56.99739315,45.60645306,0.017761679,0.818563499,0.021698596,5.687975476,29.90787047,1881420000000.0,18.35528244,152.3819666,18.8669294,18.35528244
2016,HINDUNILVR,0.471350365,0.179683698,0.136131387,0.663701068,0.584375055,0.284986629,0.739239239,0.041666667,0.017891252,0.052464469,168.8,1.324604615,0.994684988,0.081410423,2.093467465,6.840613932,17.0627919,2.809893307,55.14881118,23.95790184,17.20717964,0.018872695,44.08447505,29.25891316,6.001280728,52.98660321,38.05633758,0.018102381,0.798033959,0.022683723,5.9907272,29.78154072,1973220000000.0,31.16144455,151.925904,20.68188402,31.16144455
2017,HINDUNILVR,0.506754072,0.198053238,0.147965265,0.716110424,0.685689813,0.291904602,0.777604457,0.0,0.0,0.083623244,268.4230769,1.312028806,1.029143693,0.073028018,1.972791401,6.91643454,16.19393382,2.424128312,75.2574279,28.01625821,23.88127287,0.017672813,56.09573092,40.17073768,8.300219678,56.5840861,48.23270795,0.013289655,0.745492904,0.017826669,8.281802061,37.6026467,2924830000000.0,33.63891425,162.80292,24.08917716,33.63891425
2018,HINDUNILVR,0.508375875,0.213309048,0.155306431,0.769543663,0.73518083,0.324977186,0.834671753,0.012584213,0.005314295,0.056359318,251.969697,1.374639437,1.077535479,0.07165109,2.092490203,7.445221445,15.68651911,2.659450458,64.95327846,26.79441774,23.25108698,0.01375804,60.42657201,46.50088559,9.384635257,72.68477388,63.07283913,0.012448661,0.752229931,0.016549011,9.371244118,39.44077596,3658220000000.0,36.34339386,180.0815859,27.96782845,36.34339386
2019,HINDUNILVR,0.519965564,0.236801459,0.170865723,0.820026735,0.695651294,0.334838486,0.863049096,0.10232106,0.04178038,0.229283369,79.25423729,1.32242138,1.025330042,0.345175486,1.959658612,6.851463679,18.66398866,2.515992037,72.24233586,35.21348248,31.23158272,0.013587811,73.7371549,60.46643836,12.59915229,73.59537366,65.27329415,0.010442577,0.770005928,0.013561684,12.53904037,47.82734415,4975780000000.0,38.01282269,182.4329088,31.17153086,38.01282269
2020,HINDUNILVR,0.510714209,0.232849787,0.170807785,0.167701473,0.165439245,0.11627907,0.189041524,0.021164576,0.014674869,0.069226294,93.15384615,1.280464739,0.91335675,0.165901108,0.680759777,6.398994132,20.35972162,2.601908657,65.31386639,38.99908836,21.28074231,0.008752105,71.45605527,11.98328569,12.20525054,114.2582324,62.34761125,0.015422959,1.10206379,0.013994615,12.18745405,47.40780868,5712910000000.0,202.9076218,199.2175411,34.02790696,202.9076218
2021,HINDUNILVR,0.49025059,0.229403532,0.170236018,0.180978782,0.175085699,0.1259129,0.201985246,0.021259249,0.01479076,0.007956545,112.8773585,1.37606383,0.951950355,0.101684397,0.739637251,6.490966797,17.77675528,2.931958536,47.72574036,38.50928257,33.28277959,0.016246201,54.21143161,9.811118836,9.228738256,61.55285182,53.19886176,0.01563541,0.847617975,0.018446294,9.226744276,36.81732853,4813430000000.0,208.8090089,221.9859252,37.78999999,208.8090089
2022,HINDUNILVR,0.467396598,0.227090295,0.16994408,0.201176845,0.195260695,0.138465117,0.221474312,0.024232665,0.016678753,0.034412266,118.622807,1.413202527,0.997838377,0.05936149,0.8147687,7.460832745,19.04349217,3.312721955,42.09249098,42.52098517,37.44791798,0.014626093,59.4462503,11.95920907,10.1025383,68.37095727,60.21379772,0.014085864,0.837351779,0.016821919,10.11101871,41.02903257,6015960000000.0,214.090245,253.4363073,43.07,214.090245
2012,ICICIBANK,1.0,0.901062976,0.209142449,0.139663662,0.127056329,0.014231329,0.061667021,2.523145646,0.257101354,2.933426615,1.462800143,14.51639903,14.51639903,12.77384113,0.068046107,0.0,8.334744723,0.0,0.0,27.58649878,26.60103919,0.139134051,12.62474616,1.763218283,2.640370324,7.187313197,6.93056417,0.018305885,0.231107146,0.079209513,5.330267684,5.812842274,1212430000000.0,108.4324056,72.41029725,15.14406686,108.4324056
2013,ICICIBANK,1.0,0.909900506,0.221477481,0.144464126,0.124607459,0.014770556,0.061107831,2.414953692,0.246913958,2.928010701,1.526777414,10.64776339,10.64776339,9.268072545,0.066691007,0.0,8.523852421,0.0,0.0,10.65500741,9.336099613,0.041242654,13.01657083,1.880427523,2.882877315,24.24674215,21.2454099,0.018814594,0.244901493,0.076825149,5.596519197,6.038625881,1437210000000.0,120.3821989,78.5222454,17.39090909,120.3821989
2014,ICICIBANK,1.0,0.862925835,0.211524631,0.144583395,0.118548815,0.014825298,0.060911404,2.511307227,0.257504524,3.216204855,1.545934684,9.614259636,9.614259636,8.153136989,0.07008781,0.0,8.066940606,0.0,0.0,19.28435707,21.24000399,0.074053427,14.90510047,2.155030034,3.152795874,13.50376394,14.87319483,0.016895325,0.251826524,0.067091128,5.978707027,6.804441303,1825410000000.0,133.0932727,90.97322233,19.24307727,133.0932727
2015,ICICIBANK,1.0,0.705554756,0.151039372,0.108170036,0.115188372,0.011080154,0.052006923,2.350931181,0.240812335,3.202216163,1.398790907,23.34001601,23.34001601,14.85232847,0.073359374,0.0,8.70141047,0.0,0.0,37.00113333,35.67354598,0.165815497,13.50533385,1.460872453,2.039837138,6.030799409,5.814416495,0.025111975,0.339145606,0.074044819,4.344631188,6.03630863,1374840000000.0,147.2681612,105.4692044,15.93000235,147.2681612
2016,ICICIBANK,1.0,0.604533467,0.129686183,0.097373465,0.134109233,0.010332596,0.048396591,1.779463924,0.188824346,1.65238021,1.363344502,24.05312796,24.05312796,22.51043747,0.079673834,0.0,10.81601791,0.0,0.0,82.23701828,80.17980219,0.318578362,15.81085094,1.539557348,2.050448915,3.138945135,3.060422244,0.021249957,0.33597991,0.063247703,3.071335665,4.971182424,1610870000000.0,163.4755602,122.7438529,15.91818182,163.4755602
